iter	Logloss
0	0.5916891734
1	0.5247561734
2	0.4720197209
3	0.4321916087
4	0.4041841154
5	0.3841240531
6	0.3685764772
7	0.3567822008
8	0.3487992579
9	0.3419426667
10	0.3355027994
11	0.3302567896
12	0.3255678317
13	0.3221121045
14	0.3195354008
15	0.3171664825
16	0.3152255258
17	0.3129631068
18	0.3110248904
19	0.309574399
20	0.3080073996
21	0.3064546961
22	0.3053739389
23	0.3044695093
24	0.3037892142
25	0.3028533237
26	0.301260983
27	0.3003012693
28	0.2994240394
29	0.2988441736
30	0.2982582271
31	0.2973505783
32	0.2962152822
33	0.2957866987
34	0.2950501444
35	0.2946365092
36	0.2943461179
37	0.2939371725
38	0.2936976324
39	0.2926228405
40	0.2921069783
41	0.2917503416
42	0.2909649929
43	0.2906349506
44	0.2902385348
45	0.2898320087
46	0.2893587663
47	0.2891292428
48	0.2889324044
49	0.2886818635
50	0.2884199949
51	0.2879978158
52	0.2874279116
53	0.2872174238
54	0.2863310122
55	0.2860539979
56	0.2858676098
57	0.2855530672
58	0.2851622585
59	0.2850349214
60	0.2848078213
61	0.2847495473
62	0.2843268686
63	0.2840843253
64	0.2838688283
65	0.2831881795
66	0.2830398546
67	0.2828364589
68	0.2827211106
69	0.2824951186
70	0.2823054944
71	0.2820745561
72	0.2815192669
73	0.281404682
74	0.2813283691
75	0.2811807036
76	0.2810272992
77	0.2808083906
78	0.2806921104
79	0.2804273212
80	0.2800805731
81	0.2798415687
82	0.2797026344
83	0.2795964818
84	0.2795513256
85	0.2794295564
86	0.2793469626
87	0.2792241148
88	0.2791720152
89	0.2791720029
90	0.2791503976
91	0.2790184293
92	0.2789829592
93	0.2788689715
94	0.2787636531
95	0.2786626626
96	0.2785207773
97	0.2784020314
98	0.2781742811
99	0.2776190474
100	0.2776113414
101	0.2775845128
102	0.2774850152
103	0.2774075293
104	0.2772806524
105	0.2770948426
106	0.2769831175
107	0.276677507
108	0.2764008613
109	0.2763840278
110	0.2762516415
111	0.2761632759
112	0.2760014366
113	0.2758174651
114	0.2756606215
115	0.2755539621
116	0.2752864151
117	0.2752004408
118	0.2751088116
119	0.2749638592
120	0.2749593883
121	0.2748400624
122	0.2747441357
123	0.2741884507
124	0.274013245
125	0.2739314869
126	0.2738398004
127	0.2736635087
128	0.2735851882
129	0.2734325436
130	0.2726569404
131	0.2725679271
132	0.2724699161
133	0.2722769696
134	0.2722080192
135	0.2721226915
136	0.2719663892
137	0.2713620556
138	0.27129667
139	0.2709263117
140	0.2707674941
141	0.2707108135
142	0.2706133073
143	0.2704824471
144	0.2704175067
145	0.2703815731
146	0.2703260011
147	0.2702283097
148	0.2700279324
149	0.2698405292
150	0.2698071011
151	0.2697468111
152	0.2697467839
153	0.2696506521
154	0.2695843402
155	0.2691943347
156	0.2689850972
157	0.2688605877
158	0.2687870179
159	0.2686774282
160	0.2686754285
161	0.2686092297
162	0.2685667196
163	0.2685281276
164	0.2684755956
165	0.2684214324
166	0.2683367486
167	0.2682207228
168	0.268218429
169	0.2677858211
170	0.2677310356
171	0.2676164584
172	0.2675704763
173	0.2675343385
174	0.2674978556
175	0.26734945
176	0.2672702954
177	0.2672624598
178	0.2671378856
179	0.267097747
180	0.2670741777
181	0.2669844497
182	0.2668193183
183	0.2668191098
184	0.266708349
185	0.2666783614
186	0.266664211
187	0.2665615471
188	0.2664536965
189	0.2663131206
190	0.2661631794
191	0.2660943974
192	0.2660513214
193	0.2660268493
194	0.2660025275
195	0.2659611008
196	0.2659260671
197	0.2658226128
198	0.2657649611
199	0.2657247084
200	0.2655958784
201	0.2655612878
202	0.2654696295
203	0.2653957443
204	0.2653059195
205	0.2652164758
206	0.2651021472
207	0.2650420532
208	0.2649315711
209	0.2648740445
210	0.2648398576
211	0.2647693069
212	0.2646870665
213	0.2646486152
214	0.2646173186
215	0.264603524
216	0.264554589
217	0.2645303703
218	0.2644395678
219	0.2643352873
220	0.2642792455
221	0.2642127416
222	0.2641861732
223	0.2641452544
224	0.2641076494
225	0.2640520426
226	0.2639113993
227	0.2637944877
228	0.263789009
229	0.2637433167
230	0.2636994523
231	0.2636496373
232	0.2636320233
233	0.2635592243
234	0.2634947099
235	0.2634328145
236	0.2633993497
237	0.2633339933
238	0.263276619
239	0.2631782012
240	0.2631321025
241	0.2630614388
242	0.2629064
243	0.2628812501
244	0.2628267629
245	0.2627925649
246	0.2625684609
247	0.2625224555
248	0.2624888872
249	0.2624438595
250	0.262338789
251	0.2623311698
252	0.2622591333
253	0.2622398453
254	0.2621461104
255	0.2620777251
256	0.2620742146
257	0.2620394452
258	0.2620162989
259	0.2619395201
260	0.26181637
261	0.2617918506
262	0.2617474436
263	0.2617410151
264	0.2617182782
265	0.2617028358
266	0.2616447747
267	0.2615439829
268	0.2614647979
269	0.2614099545
270	0.2613883704
271	0.261328122
272	0.2612718775
273	0.2612096009
274	0.2611632562
275	0.2610986743
276	0.2609767707
277	0.2609468215
278	0.2608917474
279	0.2608554433
280	0.260781923
281	0.2607321938
282	0.2606484384
283	0.2606220899
284	0.2606092847
285	0.2605437745
286	0.2604991606
287	0.2604626953
288	0.260415577
289	0.2603817124
290	0.2603574508
291	0.2602437307
292	0.2602114669
293	0.2602028655
294	0.2601045271
295	0.2600282071
296	0.259993891
297	0.2599630892
298	0.2599002713
299	0.2598392423
300	0.2598200453
301	0.2597860495
302	0.2597291263
303	0.2597083908
304	0.2596085815
305	0.2595587566
306	0.2594404131
307	0.2594018308
308	0.2593873445
309	0.2592456213
310	0.2592058525
311	0.2591450995
312	0.2591275315
313	0.2590552416
314	0.258907184
315	0.2588921668
316	0.2588793925
317	0.2588668588
318	0.2588119204
319	0.2587960403
320	0.2587544586
321	0.2587288016
322	0.2586865225
323	0.2586761043
324	0.2586409318
325	0.2586048024
326	0.2585311972
327	0.2584109133
328	0.2582841463
329	0.2581788011
330	0.2580753509
331	0.2580521425
332	0.2579282048
333	0.2578814947
334	0.2578048105
335	0.2578038454
336	0.2577617344
337	0.2577251147
338	0.2576910693
339	0.2576901807
340	0.2576672878
341	0.2576584402
342	0.2576334702
343	0.2576132814
344	0.2575607851
345	0.2575426504
346	0.2574428025
347	0.2574151755
348	0.2573908115
349	0.2573837497
350	0.2573415161
351	0.257326474
352	0.2572912604
353	0.2572563996
354	0.2572077803
355	0.2571519752
356	0.2570584827
357	0.2570432585
358	0.2570017191
359	0.2569449571
360	0.2569082026
361	0.2568505403
362	0.2568366809
363	0.2567906523
364	0.2567193128
365	0.2566832938
366	0.256617911
367	0.256477653
368	0.2563917506
369	0.2563702457
370	0.2563308411
371	0.2563125959
372	0.2562992888
373	0.2562813625
374	0.2562554034
375	0.2562026852
376	0.2561804273
377	0.2560809455
378	0.2560640424
379	0.2560255703
380	0.2559167027
381	0.2558350508
382	0.2558055106
383	0.2557401095
384	0.2556974345
385	0.2556003784
386	0.2555591687
387	0.2554501348
388	0.2554061314
389	0.2553853271
390	0.2553646882
391	0.2553164131
392	0.255302341
393	0.2552998862
394	0.2552469341
395	0.2551143884
396	0.2550575561
397	0.2549650945
398	0.2548808405
399	0.254818025
400	0.2547596169
401	0.2547091202
402	0.2546692885
403	0.2546370996
404	0.2545436677
405	0.2545064801
406	0.2544414499
407	0.2543878069
408	0.2543350877
409	0.2542856237
410	0.2542645019
411	0.2542345669
412	0.2542071952
413	0.2541507686
414	0.254100848
415	0.2540342844
416	0.2539976718
417	0.2539831107
418	0.2539441291
419	0.2538885431
420	0.2538062571
421	0.2537363591
422	0.2536996507
423	0.2535986992
424	0.2535763297
425	0.2535410549
426	0.2534479942
427	0.2534091603
428	0.2533881055
429	0.2533524311
430	0.2533012153
431	0.2532681904
432	0.2531795245
433	0.2531503969
434	0.25311914
435	0.2530969315
436	0.2530615156
437	0.2530361988
438	0.2530219069
439	0.2529812868
440	0.2529411399
441	0.2528916753
442	0.252874023
443	0.2527726005
444	0.2526815394
445	0.2526366759
446	0.2525813958
447	0.2525296197
448	0.2525058047
449	0.2524897121
450	0.2524509115
451	0.2523004104
452	0.2522722274
453	0.2522310818
454	0.2521956664
455	0.2521813986
456	0.2521758999
457	0.2521325619
458	0.2520703865
459	0.2520036924
460	0.2519627763
461	0.2518906337
462	0.2518342688
463	0.2517465747
464	0.2516806866
465	0.2515983342
466	0.251540735
467	0.2514301332
468	0.2513642678
469	0.2512812439
470	0.2512232317
471	0.2511505671
472	0.2511382742
473	0.25110444
474	0.2510840416
475	0.2510419118
476	0.2509994188
477	0.2509957076
478	0.2509715756
479	0.2509136812
480	0.2508672969
481	0.2507993856
482	0.2506829573
483	0.2506566775
484	0.2506293055
485	0.2505701419
486	0.2505697079
487	0.2505255705
488	0.2504805123
489	0.2504385998
490	0.2504008469
491	0.2503399169
492	0.2502924162
493	0.2502564386
494	0.2502280574
495	0.2502134153
496	0.250187532
497	0.2501514241
498	0.2501454032
499	0.2501225397
